ID;Job tenure;Age;Car price;Funding amount;Down payment;Loan duration;Monthly payment;Credit event;Married;Homeowner;Default (y);Pred_default (y_hat);PD;Group
1;34;55;4875;3087;0;36;0,0479;0;1;1;0;0;0,0245;1
2;5;29;13000;13000;0;60;0,0917;0;0;0;1;0;0,3317;0
3;14;38;17190;14190;0;60;0,0882;0;0;0;0;0;0,1875;0
4;16;37;22773;23568;0;48;0,1101;0;1;1;0;0;0,0354;1
5;1;61;7700;8526;0;48;0,1234;0;1;0;1;0;0,3409;0
6;17;50;10250;5750;0;48;0,1102;0;0;1;0;0;0,1025;0
7;8;45;8050;6050;0;48;0,0604;0;0;0;0;0;0,1108;0
8;10;51;9950;9610;0;60;0,0697;0;0;0;0;0;0,0992;0
9;1;28;3890;4306;0;36;0,0747;1;1;0;1;1;0,6511;0
10;1;28;10790;11954;0;84;0,1109;0;0;0;1;1;0,6549;0
11;6;36;15589;9366;0;48;0,0858;0;1;0;0;0;0,0386;1
12;3;67;15990;15487;0;48;0,0600;0;0;0;0;0;0,0724;0
13;2;48;13400;11800;0;96;0,1808;0;0;0;0;0;0,1470;0
14;5;39;25790;25901;0;60;0,0917;0;1;0;0;0;0,2014;0
15;15;53;3400;3400;0;24;0,0677;1;1;1;0;0;0,1392;0
16;1;30;18400;13169;0;36;0,5556;0;0;0;0;0;0,0699;0
17;5;23;24250;20594;0;48;0,1633;0;0;0;0;0;0,0713;0
18;3;22;9078;9909;0;60;0,0908;0;0;1;0;0;0,3639;0
19;0;25;15990;17302;0;60;0,1585;0;0;0;0;0;0,4148;0
20;44;60;13800;11808;0;72;0,0710;0;1;1;0;0;0,0207;1
21;0;30;6990;5433;0;60;0,0817;0;1;0;1;1;0,6667;0
22;8;32;16120;11448;0;60;0,0544;0;0;1;0;0;0,0244;0
23;26;58;14990;10690;0;72;0,1100;0;0;1;0;0;0,0502;0
24;3;26;14140;4840;1;12;0,2986;0;1;1;0;0;0,0120;0
25;10;61;8600;8600;0;36;0,1770;0;1;1;0;0;0,0560;1
26;4;67;2986;2986;0;12;0,1954;0;1;0;0;0;0,1811;0
27;44;61;19312;19312;0;72;0,1204;0;1;0;0;0;0,1204;1
28;0;24;10990;10000;0;60;0,0836;0;0;0;0;0;0,2502;0
29;5;51;13600;13600;0;48;0,0245;0;1;1;0;0;0,0545;0
30;2;29;8200;7352;0;84;0,0761;0;0;0;0;0;0,0717;0
31;2;49;5950;5753;0;60;0,0892;0;1;0;0;0;0,0331;0
32;9;71;22830;12330;0;36;0,0667;0;1;0;0;0;0,0174;1
33;4;53;14900;13500;0;72;0,1085;0;1;0;0;0;0,0566;0
34;14;41;16200;17569;0;60;0,0962;0;1;1;0;0;0,1587;1
35;4;44;9289;9289;0;48;0,0710;0;0;0;1;1;0,8147;0
36;22;49;11000;10843;0;60;0,1243;0;0;0;0;0;0,1627;0
37;16;45;24000;25792;0;96;0,1048;0;1;1;1;0;0,1707;1
38;25;58;18538;9273;0;60;0,0558;0;1;0;0;0;0,1119;1
39;40;61;8400;8400;0;60;0,0342;0;1;0;0;0;0,1025;1
40;6;36;17300;20403;0;84;0,0653;0;1;1;0;0;0,1213;1
41;27;56;12049;13585;0;60;0,1364;0;1;1;0;0;0,0534;1
42;21;40;6752;6752;0;36;0,0593;0;1;1;0;0;0,0469;1
43;4;47;6990;7700;0;72;0,0997;0;1;0;0;0;0,2507;0
44;15;52;27985;27985;0;72;0,1028;0;0;1;0;0;0,2457;0
45;1;47;16500;14565;0;72;0,0904;0;0;0;0;0;0,0339;0
46;1;22;8500;8500;0;48;0,0556;0;0;0;0;0;0,1233;0
47;3;23;16250;13785;0;60;0,0856;0;0;0;0;0;0,4002;0
48;3;49;6166;6841;0;60;0,0933;0;1;1;1;0;0,3031;0
49;3;61;9710;9220;0;48;0,0625;0;1;0;0;0;0,1856;0
50;0;30;7480;7978;0;36;0,1059;0;1;0;1;0;0,4446;0
51;1;19;18990;20450;0;72;0,0806;0;0;0;1;1;0,7416;0
52;2;22;13000;2500;1;12;0,1223;0;0;0;0;0;0,0165;0
53;30;58;35480;16000;0;60;0,0685;0;1;1;0;0;0,0138;1
54;3;57;8900;4802;1;60;0,0621;0;0;0;0;0;0,1507;0
55;1;28;6450;6404;0;36;0,1044;0;1;0;1;1;0,5671;0
56;21;53;18990;18567;0;96;0,0789;0;1;1;0;0;0,2468;1
57;12;46;5900;5750;0;60;0,0450;0;1;1;0;0;0,0285;1
58;28;52;22990;15410;1;72;0,1335;0;1;1;0;0;0,0143;1
59;15;56;11801;12500;1;60;0,0596;0;0;1;0;0;0,0297;0
60;28;48;29139;9139;1;36;0,1688;0;1;1;0;0;0,0103;1
61;7;71;11490;11490;0;72;0,1248;0;1;0;0;0;0,1682;1
62;24;58;13500;11950;0;60;0,0627;0;0;0;0;0;0,0661;0
63;4;23;19890;16747;0;48;0,1471;0;0;0;0;0;0,0319;0
64;0;65;11490;7690;0;60;0,1490;0;0;0;0;0;0,1027;0
65;0;22;14900;14900;0;60;0,2000;0;0;0;0;0;0,1900;0
66;9;36;19683;22848;0;72;0,0844;0;1;0;0;0;0,1928;1
67;3;42;8899;6014;0;72;0,0762;0;0;0;0;0;0,0431;0
68;7;27;12880;11292;0;48;0,1275;0;1;0;0;0;0,0595;1
69;10;51;16900;17920;0;72;0,2092;0;1;0;0;0;0,0738;1
70;0;53;13200;14383;0;36;0,1546;0;0;1;0;0;0,1375;0
71;13;73;14950;10950;0;84;0,0931;0;1;0;0;0;0,1608;1
72;2;27;8300;8300;0;72;0,0700;0;0;0;0;0;0,1587;0
73;1;50;17900;17900;0;60;0,1982;0;1;0;0;0;0,0754;0
74;1;37;14700;7118;1;24;0,1275;0;1;1;0;0;0,0042;0
75;10;74;7490;2490;1;12;0,1638;0;1;1;0;0;0,0131;1
76;4;23;9000;8591;0;36;0,1946;0;0;0;0;0;0,0613;0
77;0;34;16700;14886;0;60;0,1756;0;0;0;0;0;0,0919;0
78;3;43;26179;29248;0;96;0,1434;0;1;0;0;0;0,3463;0
79;16;63;7146;7146;0;36;0,1507;0;0;1;0;0;0,1796;0
80;0;44;5839;6067;0;24;0,0255;0;1;0;0;0;0,2350;0
81;16;38;14900;14900;0;48;0,0724;0;1;1;0;0;0,0827;1
82;3;53;5690;5608;0;72;0,0525;0;0;0;1;1;0,5354;0
83;4;37;28854;29000;0;72;0,1112;0;1;0;1;0;0,3116;0
84;14;35;17960;14960;0;48;0,1000;0;0;0;0;0;0,0276;0
85;17;53;9800;9800;0;72;0,0413;0;1;1;0;0;0,0206;1
86;0;33;8900;7400;0;60;0,0772;0;1;0;0;0;0,2107;0
